country,barcode,product_name,brand,sugar_content_per_100g
italy,8002270866791,ARANCIATA AMARA,San Pellegrino,8.8
italy,8018005727138,Arancia Rossa,Polara,11.0
italy,5449000148728,coca cola zero,Coca-Cola,0.0
italy,15781714,coca cola,,0.0
italy,8002270726798,Limonata,San Pellegrino,8.0
italy,6132007700073,coca cola,coca cola,26.5
italy,8018005301697,Limonata,Frizz,1.9
italy,8057192003830,Lemon soda Zero,,0.0
italy,4017434001257,naturell Tee-Variation,Bad Brambacher,3.9
italy,8002895052173,Limone e zenzero,crai,8.5
italy,5449000314987,Fanta Mango,Fanta,0.3
italy,8018005005281,Acqua tonica,,8.0
italy,8018005005519,Acqua tonica,,7.0
italy,8018005370211,Mandarino verde di sicilia,Polara,15.0
italy,20243258,Erfrischungsstäbchen Orange-Zitrone,Tomarchio,72.0
italy,8002270206887,Limonata Sanpellegrino,San Pellegrino,8.0
italy,8014396004018,Zero Limone,Schweppes,0.2
italy,3560071420819,Cola,Carrefour,8.4
italy,3250393181382,Look Limonade,Look,7.0
italy,8005476006923,Chinotto,Auchan,13.0
italy,0005944200938,Cocacola,Coca-Cola,48.0
italy,8033520500790,Cola zero skyway,MaxiDì,0.0
italy,40822938,Fanta Naranja,Fanta,10.5
italy,5942321000213,Fanta Madness cu suc de struguri,Coca Cola,8.4
italy,5449000131836,Zero Sugar,Coca-Cola,0.0
italy,5449000133328,Coca-Cola Zero,Coca-Cola,0.0
italy,3560070103294,Saveur Lemon Lime*,Carrefour,7.1
italy,20308025,Udon Nudeln Taste of Asia (Japan Style),Freeway,4.0
italy,3560071169640,Fresh TONIC,Carrefour,5.0
italy,8017596104526,Limonata zero,Eurospin,1.0
italy,4060800001740,pepsi,pepsi,11.2
italy,5000112594218,Coca cola Zero,The Coca-Cola Company,0.0
italy,5449000050205,Coca-Cola Light,Coca-Cola,0.0
italy,5449000282781,Coca-Cola,Coca-Cola,10.6
italy,5449000050809,Fanta Original,Fanta,11.8
italy,3560070254040,Saveur agrum',Carrefour,6.1
italy,8050503672022,Limonata,Terra Viva,7.1
italy,8001160004015,Pepsi MAX zero zucchero,Pepsi-Cola,0.1
italy,3560071176457,Limonade,Carrefour BioCarrefour,5.5
italy,8017596011879,CHINOTTO,Blues,12.5
italy,8017596102126,Chinotto,Blues,10.9
italy,8007885003579,Chinotto Bio,Galvanina,13.0
italy,8002270736803,Aranciata amara,San Pellegrino,8.8
italy,8032919465122,Acqua tonica con limone e chinotto,lurisia,10.4
italy,8017596067197,,Eurospin,13.0
italy,5449000289421,Fanta limonata,Fanta,0.4
italy,8001620012420,Ginger Zero,San Benedetto,0.0
italy,8001620012437,Chinotto Zero,San Benedetto,0.0
italy,8018005720276,Chiosco mandarino,Polara,12.9
italy,8014396003165,Schweppes,Schweppes,10.0
italy,90375323,Coca cola zero,Coca-Cola,0.0
italy,8003170003675,Cola Premium,Conad,10.9
italy,8032919465078,Il nostro chinotto,Lurisia,12.4
italy,8712857008109,Aloe Lemon,Tropical,8.5
italy,5449000265098,CocaCola Energy,Coca-Cola,10.4
italy,8002270946561,Boisson aranciata amara,San Pellegrino,8.6
italy,8017596062116,Limonata,Blues,11.0
italy,8017596007001,Aranciata (con arance siciliane),blues,12.0
italy,8002270236778,Chinò,San Pellegrino,10.0
italy,8017596068392,Blues Aranciata,Blues,11.0
italy,8017596063106,Cola zero Blues,blues,0.0
italy,5000112594201,Coca cola light taste,Coca-Cola,0.0
italy,5000112600186,Coca cola Zero Zuccheri,Cocacola,0.0
italy,8002270266775,Aranciata,San Pellegrino,10.1
italy,8054377870027,Mole cola,Molecola,10.6
italy,40608006,pepsi,Pepsi,7.0
italy,8002270033902,Sanbitter,San Pellegrino,15.0
italy,5449000000989,,Coca-Cola,11.1
italy,8057192001447,Oran soda,Terme di Crodo,9.5
italy,8001620012406,Zero allegra con succo d'agrumi,San Benedetto,1.1
italy,8002270596575,l'Aranciata,San Pellegrino,25.3
italy,8018005301291,Arancia rossa,Polara,9.0
italy,8001620012444,Pompelmo zero,San Benedetto,1.0
italy,5000112581348,Coca-Cola,Coca-Cola,10.8
italy,8017596101532,aranciata zero,Blues,1.8
italy,5000112528305,Coca-Cola original taste,Coca-Cola,10.6
italy,9100000114507,Apfel Litschi gespritzt,Spar,2.9
italy,3560070823673,Pulp'Orange* Soda,Produits blancs,1.4
italy,8002270396588,SANPELLEGRINO Bois pétil au jus d'orange et de figue de Barbarie 33cl,San Pellegrino,8.3
italy,8057192000204,Pelmo soda,Terme di Crodo,11.0
italy,9002490208592,Energy Drink,Red Bull,0.0
italy,5449000169358,Coca Cola Zéro sans caféine,Coca-Cola,0.0
italy,51013861,Lemon soda,Lemon soda,13.0
italy,5000112636208,Fanta,Fanta,11.8
italy,8002895004301,Gassosa,Crai,1.0
italy,20256357,gassosa,,2.0
italy,8057192000402,Oransoda pet,Terme di Crodo,9.5
italy,8057192002727,Tropical trip,Terme di Crodo,9.0
italy,8018005720863,Ginger beer,,10.0
italy,8018005827043,Chinotto Bio Sicilia,,10.5
italy,8018005827005,Gassosa Bio Sicilia,Polara,8.5
italy,8001620012994,Gazzosa Zero,Get up,0.0
italy,8018005440082,Mandarino verde di sicilia,Polara,1.7999999523163
italy,8057192000716,Oran Soda,Terme di Crodo,9.5
italy,8018005302014,Fruit thé alla pesca,Polara,2.0
italy,4099200259239,Soda limette -minze,,0.5
italy,8018005720177,Spuma,Polara,13.1
italy,8057192002901,,Terme di Crodo,2.0
italy,8002270796807,Chinò,San Pellegrino,9.9
italy,8025916111673,Pompelmo zero,Todis,1.2
italy,5449000225245,Coca cola,,0.0
italy,8009980895622,Tonic Water Original Limited Edition,Spumador,8.6
italy,8025916117507,Cedrata,Todis,1.0
italy,8018005827111,The limone,Polara,8.0
italy,8050327350113,Oransoda,Crodo,9.5
italy,8002270796746,Chinotto,San Pellegrino,9.9
italy,8059693040024,Bibicaffè,,10.0
italy,4304493267886,L'aperitivo analcolico ginger,,13.0
italy,80128601,,Conad,1.7
italy,8006290805440,Gassosa,Ferrarelle,9.8
italy,8003963239045,Cola,Snell-up,0.0
italy,3560071420840,Cola,Carrefour,8.4
italy,8003170074606,CONAD Cola zero zuccheri,Conad,0.0
italy,5449000214799,Coke zero,Coca Cola,0.0
italy,8009980456168,Aranciata,Spumador,11.0
italy,5000112637977,Fanta exotic,Fanta,13.2
italy,8431876059236,Gaseosa,Carrefour,0.0
italy,5000112557688,Fanta,Fanta,11.8
italy,8017596008336,Gassosa,Eurospin,9.1
italy,5060166690205,monster,Monster Energy,11.0
italy,5000112584370,Fanta Exotic,Fanta,13.2
italy,5449000309631,Coca Cola Zero Zuccheri Zero Caffeina,Coca cola zero,0.0
italy,5060896625492,Monster Lewis Hamilton Zero Sugar,Monster,0.0
italy,8002270706806,Chinò,San Pellegrino,8.9
italy,8014396004025,zero gusto agrumi,Schweppes,0.2
italy,8002270066771,Cocktail zero,San Pellegrino,0.0
italy,8001620012413,Gassosa zero,San Benedetto,0.0
italy,4304493267428,L’Aperitivo analcolico bitter,,15.0
italy,5449000241320,Coca Cola Zero,Coca-Cola,0.0
italy,5449000316509,Coca Cola,Coca-Cola,0.0
italy,0880911163892,Aloe Pineapple,Ace Farm,8.33
italy,4056489516521,Ginger zero,Lidl,0.0
germany,4260107226987,Fritz-Cola null Zucker + guarana,fritz-kola,0.0
germany,4017434002575,Garten-Limonade Zitrone,Bad Brambacher,10.0
germany,4002846034627,Mio Mio Mate Ginger,MIO MIO,6.4
germany,4014472280415,Bionade - Mate Pur (Bio),Bionade GmbH,4.6
germany,4100060026463,Durstlöscher Granatapfel-Zitrone,WesserGold,10.0
germany,4260565250111,The Basil,Soda Libre,8.1
germany,4388860426052,Erfrischungsgetränk Zitrone Ingwer Basilikum,Rewe,9.4
germany,42031888,ColaMix Kalorienarm,Frucade,2.3
germany,5268247880877,fritz-kola stevia,fritz-kola,4.6
germany,5410033820707,Sparkling Ice Tea,Lipton,4.5
germany,5449000000965,Coca-Cola 6 x 330ml,Coca-Cola,10.6
germany,5449000091659,Coca Cola Life 1L MW,Coca Cola,5.0
germany,5449000241764,Coca zéro lemon,Coca-Cola,0.0
germany,54491229,Coca-Cola,Coca-Cola,10.6
germany,5449000081711,Fanta Mango-Geschmack,Fanta,10.1
germany,5449000197092,Cherry Coke,Coca-Cola,10.7
germany,5449000216489,BiO LiMO Grapefruit,ViO,7.0
germany,5999883580257,Boisson au raisin pétillante,Rewe bio,2.5
germany,7610097126182,Rivella Refresh,Rivella,5.2
germany,90448256,black Orange,Organics,9.2
germany,4015042101901,AQUA Wellness Brombeer Geschmack,AQUA Wellness,5.9
germany,5449000297877,Fanta - Elderflower & Lemon,Fanta,6.7
germany,4047247349215,Apfelrhabarberschorle,Gut bio,4.5
germany,4260456730388,Juneberry Jam Geschmack,Gönrgy,0.0
germany,4008287916218,Krombracher's Fassbrause Cola&Orange,Krombacher,9.8
germany,90495502,"Sprite 0,2",Sprite,8.0
germany,3249760000012,Orangina,Orangina,10.2
germany,42006312,Flumi cola-mix,Flummi,9.1000003814697
germany,4012852204266,Now Orange Cola,Lammsbräu,9.0
germany,4102610507422,Afri Cola,,11.0
germany,4102560020323,Leicht&Fruchtig Apfel-Traube Cranberry,RHÖN SPRUDEL,4.3
germany,4260517180299,Dr Pepper Vanilla Float,Dr. Pepper,11.5
germany,4045145535204,"Die Limo, Pink Grapefruit + Cranberry",Granini,9.1
germany,4048517663338,Die Limo Leicht Zitrone-Minze,granini,5.1
germany,00019347,Vita Cola pur,Vita Cola,11.0
germany,4005906002352,Apfelschorle aus natürlichem Mineralwasser,Adelholzener,5.8
germany,40554556,The real Cola,Booster,10.6
germany,40847719,Odenwald Quelle,Odenwald Quelle,4.8
germany,4000140708633,Orangina Rouge,Orangina,10.1
germany,5000112547450,Mezzo Mix,Coca-Cola,7.9
germany,5000112547726,Coca-Cola,Coca-Cola,10.6
germany,4260339810022,Acao Quitte Zitrone mit Guarana,Acao,4.4
germany,5711018024135,Ananasbrus,Harboe,9.6
germany,4001513006417,Fruity Water - Beerengeschmack,Gerolsteiner,0.7
germany,54492387,Coca Cola light,Coca Cola,0.0
germany,90151620,"Almdudler Original 0,33L",Almdudler,7.9
germany,4009228250330,Afri Cola ohne Zucker,Mineralbrunnen Überkingen-Teinach GmbH & Co. KG,0.0
germany,42218494,Spezi,,9.8
germany,4026285000746,"Spezi 20 x 0,5 Ltr.",Bissinger Auerquelle,9.3
germany,9009700308271,Balance Juicy Pfirsich-Mango,Vöslauer,3.0
germany,6194019608273,Boga mojito,Boga,9.88
germany,87177077,7 up,7 up,10.4
germany,4337185148774,Cola light,K-Classic,0.1
germany,4004880378408,Citro limo,Bad Dürrheimer,4.0
germany,9009700311400,Balance Juicy Rote Früchte + Echinacea,Vöslauer,3.1
germany,4054500114862,,Eichbaum,7.0
germany,7750182006088,Gaseosa Inca Kola sabor original x 600ml,Coca-Cola,21.0
germany,8057192000419,Lemon soda,Terme di Crodo,12.0
germany,4260402580340,Rote Schorle,Einheimischer,6.0
germany,4337256737081,Limonata,San Fabio,11.0
germany,6086701117777,,,9.0
germany,4056489568803,Blub blub peach,Solevita lidl,3.2
germany,4062139025299,Pepsi Zero Zucker,Pepsi,0.0
germany,5449000286932,Fanta lemon,Fanta,7.8
germany,7640115252784,Tonic,prix garantie coop,7.7
germany,5449000264824,Coca-Cola Vanilla ohne Zucker,Coca Cola,0.0
germany,4013595318401,Cola,Vita Cola,88.0
germany,4103850001923,Land Schorle,Rapp's,9.8
germany,8009980895011,Aranciata zero,Spumador,1.7
germany,42391876,Lidl strong Cola Koffein drink,Strong,9.8
germany,4270000162367,Chico Erfrischungsgetränk mit Hanf-Minz-geschmack,Live Well Beverages,8.1
germany,4002343008008,Ensinger Sport Grapefruit,Ensinger,3.2
germany,4013595318449,Zitrone Limonade,Vita Cola,9.7
germany,4021375103727,Afri Cola ohne Zucker,afri,0.0
germany,5000112620191,Fanta Lemon Ohne Zucker,Fanta,0.0
germany,4260422210036,green cola,Green Cola,0.0
germany,42141242,Zitronenlimonade,Flirt,7.9
germany,4001681980601,Kindersekt Berry,Robby Bubble,10.0
germany,4018715002840,Cola,Sinalco,10.0
germany,5449000025500,Bio Limo,vio,4.2
germany,4005906002871,Pflaume,Adelholzener,10.0
germany,4013256012150,Grapefruit Fruchtsaftgetränk,Lichtenauer,1.2
germany,4010223101527,Happy Cola,Brauerei Bischofshof,8.6
germany,4260336980094,Tyme Out Botanical Fizz,TYME OUT,3.2
germany,4015533015595,Bio Zisch Guarana Cola,Voelkel,8.3
germany,4019313015058,Spezi - Koffeinhaltige Limonade mit Cola-Orangengeschmack,Spezi,9.8
germany,4013256012457,Waldmeister Brause,Lichtenauer,3.5
germany,4061458225816,Flirt Spicy Ginger,Flirt,14.0
germany,4001246032134,Gold,Dreiser,9.1
germany,4022652943456,Limhonade Holunder,Limhonade,7.5
germany,4105750000747,Spezi,Original,9.2
germany,4104740005700,Kölsches Wasser Grapefruit pink,,9.7
germany,4105960003989,Deit Johannisbeere Blutorange - zuckerfrei,Deit,0.5
germany,4002627803824,Select Pink Grapefruit-Cranberry,Frankenbrunnen,5.6
germany,42414186,,Solevita,4.9
germany,4005163131000,Apfelschorle,Dauner,5.5
germany,4062139000739,Pepsi,Pepsi,7.0
germany,4104740005724,Kölsches Wasser [grün] *,Sünner Brauerei,7.8
germany,4260310556208,Coffee Tonic,,7.9
germany,4101130001991,Orangen limo,,2.3
germany,4260202152211,Fanta Shokata,Fanta,7.1
germany,4337185904400,Cola -Z,Kaufland,0.1
germany,4013256642760,Fresh and fruity,Lichtenauer,4.1
germany,16727843,ISO Drink light,K Classic,3.9
germany,5000112576986,MezzoMix Zero,Coca-Cola,0.2
germany,5000112647341,Vio Bio Limo (Holunder-Zitrone),CocaCola,7.5
germany,4061458221337,River,River,0.0
germany,3057640560293,Tee-Pfirsichgeschmack,Volvic,3.2
germany,4062139001668,Pepsi Twist,Pepsi,10.8
germany,42425908,Icetea Schwarzer Tee Pfirsich Hibiskus,Solevita,4.3
germany,4062139002214,Max,Pepsi,0.0
germany,4056489304654,Freeway Sodasirup,Freeway,81.0
germany,4017943110075,Bio-Orangenlimonade,Landpark Bio-Quelle,8.9
germany,4062139003297,Eistee Zitrone,Lipton,4.5
germany,4260310559537,Wild Berry,Thomas Henry,9.0
germany,4013595645132,Vita Limo Brazil,Vita Cola,11.0
germany,4014472280439,Bionade Mate Limette,Bionade,4.5
germany,4280001274051,Kilimo,kolle mate,5.2
germany,5060108453288,Premium Ginger Ale,Fever-Tree,7.1
germany,4018715002543,Cola Light,Sinalco,0.0
germany,4005249061429,FASS Brause (HOLUNDER ALKOHOLFREI),Brauerei C. & A Veltins GmbH & Co. KG,5.67
germany,4012297035050,Limonade,,8.4
germany,4061458248679,Apfel Schorle,WiesGart,6.1
germany,4012880628218,Stille Melonenschorle,Lausitzer,10.0
germany,4008287935530,,Krombacher,6.9
germany,17224871,Isis cola,Beutelsbacher,11.0
germany,4062139001903,Mirinda Orange,Mirinda,9.4
germany,4005906002666,Cola Mix wenig Kalorien,Adelholzener,0.5
germany,4260547320368,Spirit Lime & Kiwi,Biohacks,7.5
germany,4260231223340,Fanta shokata,Fanta,7.1
germany,4061458248723,Flirt Wild Berry,Flirt,9.0
germany,9008700175920,Yippy - Multi,Rauch,7.9
germany,4047247253659,Rivers Cola Sirup,River,0.0
germany,4100060005628,Extaler Orange,,10.0
germany,42423034,Gerolsteiner,und Frucht,4.2
germany,4104450002716,sport schorle apfel-grapefruit,Vilsa,0.0
germany,4013256012464,Himbeerbrause,Lichtenauer,3.6
germany,4001228513774,Brause Waldmeister,Magnus,8.7
germany,4303147460680,Tonic water,,7.2
germany,4001653002249,Geschmack +Lemon,Bad Pyrmonter,0.0
germany,4062139004256,Pepsi,PepsiCo,7.0
germany,4015533048784,Apfel Grapefruit Schorle,Voelkel,5.0
germany,8594008043876,Pepsi,Pepsi,11.0
germany,4026900004173,Spezi Original KolaOrange,Spezi,9.2
germany,4316268642033,Soda Sirup Cola,StarDrink,3.5
germany,4058172917950,Dm Bio Guarana Cola,Dm Bio,8.3
germany,4026285000623,ACE,Bissinger Auerquelle,10.0
germany,4026285000807,Bissinger Cola,Bissinger Auerquelle,11.0
germany,4026285002733,Bissinger Limette,Bissinger Auerquelle,11.0
germany,4260287187481,Sunny Soda,NOCCO,0.0
germany,4004042641654,Schorle Apfel,Rosbacher,5.9
germany,4026285000548,Gelbes Limo,Bissinger Auerquelle,8.0
germany,4054500114930,Braumeisters Limonade Zitrone-Naturtrüb,Eichbaum,7.0
germany,0742832682022,Yuzuka,Doyobi GmbH,6.8
germany,4002627801851,Tee-Ole,Sachsen Quelle,4.6
germany,5000112547146,Coca Cola Cherry,Coca-Cola Company,10.7
germany,4023121004043,Cola Mix,,10.0
germany,4013595645194,Vita Limo Paradiso,Vita,9.3
germany,20277888,Soda Orangengeschmak,Surf,60.3
germany,4001784010458,Orange-Maracuja,Bad Brückenauer,0.9
